2637561,walmart,,,retail,11 - 50,,,linkedin.com/company/walmart_2,12,17,3.2,3.2
2030067,target,,,executive office,1 - 10,"kansas city, kansas, united states",united states,linkedin.com/company/mechanical-services-corp,0,1,3.4,3.4
6535892,amazon,,,warehousing,201 - 500,,,linkedin.com/company/amazon.com,68,92,3.8,3.8
2202131,wells fargo,mortgagematch.net,,financial services,1 - 10,"nottingham, nottingham, united kingdom",united kingdom,linkedin.com/company/mortgage-match,0,2,3.6,3.6
5466337,us army,vendx.blogspot.com,,wholesale,1 - 10,"vancouver, washington, united states",united states,linkedin.com/company/vend-x-distributing,0,2,3.9,3.9
3300741,at&t,att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188,269659,3.4,3.4
3117142,the home depot,homedepot.com,1977.0,retail,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-home-depot,44630,114799,3.5,3.5
5123607,starbucks,cascoantiguoseattle.com,,restaurants,1 - 10,"renton, washington, united states",united states,linkedin.com/company/casco-antiguo-llc,2,2,3.8,3.8
3459769,bank of america,baci.ws,,staffing and recruiting,1 - 10,"buckingham, pennsylvania, united states",united states,linkedin.com/company/baci-inc,0,1,3.7,3.7
6161271,ibm,,,,1 - 10,,,linkedin.com/company/fiokware,0,1,3.7,3.7
739819,verizon,,,,1 - 10,,,linkedin.com/company/verzoni.org,0,2,3.6
2219883,lowe's,,,retail,201 - 500,,,linkedin.com/company/lowe's,106,257,3.3
7063593,macy's,,,retail,501 - 1000,,,linkedin.com/company/macy's,209,345,3.2
1235546,mcdonald's,,,,1 - 10,,,linkedin.com/company/ks-recursos-humanos-servicos-de-terceirizaco-ltda,0,2,3.4
2546271,best,bestgroupaust.com,2002.0,marketing and advertising,1 - 10,"south yarra, victoria, australia",australia,linkedin.com/company/best-design-to-life,5,13,3.8,4.8,3.0,4.6
4908121,cvs,,,retail,11 - 50,,,linkedin.com/company/cvs,8,9,2.8
2738528,walgreens,superiorservicesupport.com,2009.0,semiconductors,1 - 10,"hopewell, virginia, united states",united states,linkedin.com/company/superior-service-support-llc,1,2,3.0,2.7
5901675,microsoft,microsoftaaas.com,2012.0,management consulting,1 - 10,,,linkedin.com/company/microsoft-alliance-as-a-service,0,3,4.2
4507089,apple,intelpost.eu,,industrial automation,1 - 10,,,linkedin.com/company/intel-post,1,1,4.0,3.4
2470244,deloitte,b4cl.com,2011.0,information technology and services,1 - 10,"ayot saint lawrence, hertford, united kingdom",united kingdom,linkedin.com/company/big-4-consultancy-limited,0,1,3.8
3966122,ups,upstreamit.co.uk,2001.0,information technology and services,1 - 10,"edinburgh, edinburgh, united kingdom",united kingdom,linkedin.com/company/upstream-it-ltd,1,2,3.4,2.7
6432614,nordstrom,nordstrom.com,1901.0,retail,10001+,"seattle, washington, united states",united states,linkedin.com/company/nordstrom,20376,81777,3.6
6463738,accenture,n-soft.ca,1999.0,information technology and services,1 - 10,,,linkedin.com/company/n-soft_2,1,1,3.8
6452435,cisco,athomeassessments.com,,medical devices,1 - 10,,,linkedin.com/company/at-home-assessments,1,3,4.1
5591191,oracle,anilrpatil.com,,information technology and services,1 - 10,,,linkedin.com/company/http-oracle.anilrpatil.com,1,1,3.5
4327672,sears,unknowninkdesign.com,1997.0,graphic design,1 - 10,"lakewood, ohio, united states",united states,linkedin.com/company/unknown-ink-design,1,3,2.8
5747563,pwc,,,accounting,1 - 10,,,linkedin.com/company/pricewaterhousecoopers_7,2,20,3.8
1957645,kohl's,,,retail,1001 - 5000,,,linkedin.com/company/kohl's,487,727,3.5
4194738,kroger,thekrogerco.com,1883.0,retail,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/kroger,22257,52584,3.0
148853,citi,,,"health, wellness and fitness",1 - 10,,,linkedin.com/company/sandra-larkin-wellness-strategies-llc,0,1,3.6,4.0
302119,intel,,,electrical/electronic manufacturing,1 - 10,,,linkedin.com/company/intel-microelectronics-services,1,1,4.0
3408384,comcast,comcast.com,1963.0,media production,10001+,"philadelphia, pennsylvania, united states",united states,linkedin.com/company/comcast,24515,50032,3.5
1558607,ey,ey.com,1989.0,accounting,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ernstandyoung,158363,428960,3.7
1570752,ymca,,,retail,1 - 10,"winnebago, illinois, united states",united states,linkedin.com/company/winnebago-park-district,0,1,3.6
374471,sprint,sprintcph.com,2014.0,management consulting,1 - 10,"copenhagen, capital region, denmark",denmark,linkedin.com/company/sprint-agency,1,1,3.2
5030236,t-mobile,,,civil engineering,1 - 10,"fairfield, new jersey, united states",united states,linkedin.com/company/t-mobile-amirit-technologies,0,1,4.0
6639733,j. c. penney,,,insurance,51 - 200,"madrid, madrid, spain",spain,linkedin.com/company/j-c-penney,32,186,3.1
2163221,insight global,asiancerc.com,,information technology and services,1 - 10,"glasgow, glasgow city, united kingdom",united kingdom,linkedin.com/company/insight-global-solutions-limited,1,4,4.1
1129224,google,servicemaxusa.com,1991.0,consumer services,1 - 10,"naples, florida, united states",united states,linkedin.com/company/servicemax-usa,1,1,4.4
680884,whole foods market,wholefoodsmarket.com,1980.0,supermarkets,10001+,"austin, texas, united states",united states,linkedin.com/company/whole-foods-market,15674,36319,3.6
4446861,boeing,befa.org,,financial services,1 - 10,"renton, washington, united states",united states,linkedin.com/company/boeing-employees-flying-assoc,1,2,3.6
3072250,us marine corps,,,military,5001 - 10000,,,linkedin.com/company/us-marine-corps,2020,8255,4.0
4648395,dell technologies,delltechnologies.com,2016.0,information technology and services,5001 - 10000,"round rock, texas, united states",united states,linkedin.com/company/delltechnologies,3444,4442,4.0
6692004,us postal service,londonpostalservice.com,2012.0,consumer services,1 - 10,,,linkedin.com/company/london-postal-service,1,1,2.9
5009621,staples,,,,1 - 10,,,linkedin.com/company/staples_2,0,3,3.2
3605746,panera bread,panerapeople.com,1981.0,restaurants,10001+,"st. louis, missouri, united states",united states,linkedin.com/company/panera-bread,9563,31215,3.2
100292,kaiser permanente,kaiserpermanente.org,1945.0,hospital & health care,10001+,"oakland, california, united states",united states,linkedin.com/company/kaiser-permanente,65839,105240,4.0
762687,capital one,capitalone.com,1994.0,financial services,10001+,"mclean, virginia, united states",united states,linkedin.com/company/capital-one,27522,62144,3.8
3406679,chase,chase.be,2012.0,media production,11 - 50,"gent, oost-vlaanderen, belgium",belgium,linkedin.com/company/chasemusicbe,4,5,3.6
6788798,publix,publixltd.com,,information technology and services,51 - 200,,,linkedin.com/company/publix-ltd,44,64,3.7
564320,adp,adp.com,1949.0,human resources,10001+,"roseland, new jersey, united states",united states,linkedin.com/company/adp,35686,81555,3.7
5607719,infosys,,,information technology and services,1 - 10,,,linkedin.com/company/simple-hire-hr--services,1,2,3.3
4985291,lockheed martin,lockheedmartin.com,1912.0,defense & space,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/lockheed-martin,50303,117362,3.8
4082461,dollar,,,financial services,1 - 10,,,linkedin.com/company/dollar,2,5,2.7,2.7,3.7,3.2
1724313,pepsico,,,consumer goods,1 - 10,"barcelona, catalonia, spain",spain,linkedin.com/company/pepsico-iberia,1,2,3.6
2275090,kpmg,aswainc.com,1972.0,automotive,1 - 10,"summerville, south carolina, united states",united states,linkedin.com/company/aswa-inc,0,2,3.7
7075732,chipotle,,,hospitality,1 - 10,"genoa, liguria, italy",italy,linkedin.com/company/chipotle-catering-ltd,0,1,3.4
2169635,uber,uber.no,2002.0,program development,1 - 10,,,linkedin.com/company/uber.no,1,1,4.1
33426,chick-fil-a,,,marketing and advertising,1 - 10,,,linkedin.com/company/chick-fil-a-jacksonville,0,1,3.9
543348,marriott,,,photography,1 - 10,,,linkedin.com/company/williams-travel-and-cruises,1,1,3.8,3.8
2122790,ge,ge.com,1892.0,electrical/electronic manufacturing,10001+,"fairfield, connecticut, united states",united states,linkedin.com/company/ge,42043,136710,3.7,3.6,3.4
4542740,subway,,,restaurants,1 - 10,"utica, illinois, united states",united states,linkedin.com/company/sandwich-artists-inc,0,1,3.2
4325502,tata consultancy services,,,,1 - 10,,,linkedin.com/company/think-buzziness,0,1,3.7
2359512,fidelity investments,fidelity.com,1946.0,financial services,10001+,"boston, massachusetts, united states",united states,linkedin.com/company/fidelity-investments,30346,75432,3.9
6833872,northwestern mutual,,1890.0,financial services,1 - 10,"falls church, virginia, united states",united states,linkedin.com/company/naifa-tulsa,4,4,3.8
7024799,xerox,xerox.com,1906.0,information technology and services,10001+,"norwalk, connecticut, united states",united states,linkedin.com/company/xerox,30765,109494,2.8
1891664,aramark,pjsykes.com,1980.0,photography,1 - 10,"richmond, virginia, united states",united states,linkedin.com/company/vcu-supply-center,1,1,3.0,3.0
2280776,u.s. bank,,,banking,201 - 500,,,linkedin.com/company/usbank,92,309,3.4
6727723,sam's club,samsclub.com,,retail,10001+,"bentonville, arkansas, united states",united states,linkedin.com/company/sam's-club,10738,30669,3.1
4107042,morgan stanley,morganstanley.com,1935.0,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/morgan-stanley,44799,141694,3.8
5300977,costco wholesale,costco.com,1983.0,retail,10001+,"issaquah, washington, united states",united states,linkedin.com/company/costco-wholesale,21030,39071,4.0
2000656,pnc financial services group,,,financial services,1 - 10,,,linkedin.com/company/pnc-financial-services-group_2,1,3,3.4
1661954,northrop grumman,,,financial services,1 - 10,"falls church, virginia, united states",united states,linkedin.com/company/northrop-grumman-federal,1,3,3.7
3862636,abercrombie & fitch,abercrombie.com,,retail,10001+,"new albany, ohio, united states",united states,linkedin.com/company/abercrombie-&-fitch,6453,46350,3.3
659316,ulta beauty,ulta.com,1990.0,retail,10001+,"bolingbrook, illinois, united states",united states,linkedin.com/company/ulta,7281,17782,3.1
3513591,pizza hut,pizzahut.com,1958.0,restaurants,10001+,"plano, texas, united states",united states,linkedin.com/company/pizza-hut,12338,43563,3.2
4142436,forever 21,forever21.com,1984.0,apparel & fashion,10001+,"los angeles, california, united states",united states,linkedin.com/company/forever-21,6392,28803,2.8
703734,booz allen hamilton,boozallen.com,1914.0,management consulting,10001+,"mclean, virginia, united states",united states,linkedin.com/company/booz-allen-hamilton,18838,48211,3.7
4800244,allstate,al.st,1931.0,insurance,10001+,"northbrook, illinois, united states",united states,linkedin.com/company/allstate,31490,63117,3.4
1654357,kmart,,,primary/secondary education,1 - 10,"kennesaw, georgia, united states",united states,linkedin.com/company/metro-mobility-inc,0,1,3.0
3328412,american express,,,management consulting,1 - 10,"richmond, virginia, united states",united states,linkedin.com/company/gestalt-partners,1,8,4.0
1313307,walt disney company,,,publishing,1 - 10,,,linkedin.com/company/walt-disney-company,2,3,3.7
7121571,liberty mutual insurance,,,insurance,1 - 10,"victoria, texas, united states",united states,linkedin.com/company/lm-hobby-dolls,0,1,3.3
6639004,dish,dishcatering.co.uk,,food & beverages,201 - 500,,,linkedin.com/company/dish,74,103,2.9
2358177,gap,,2017.0,computer software,1 - 10,"cherbourg, basse-normandie, france",france,linkedin.com/company/gapamiante,1,1,3.6,4.1
6886818,dillard's,,,retail,11 - 50,,,linkedin.com/company/dillard's,6,9,2.7
5116198,safeway,,,,1 - 10,,,linkedin.com/company/safeway_2,0,4,3.0
1666362,petsmart,petsmart.com,1987.0,retail,10001+,"phoenix, arizona, united states",united states,linkedin.com/company/petsmart,8461,23760,3.2
1303682,office depot,officedepot.com,1986.0,business supplies and equipment,10001+,"boca raton, florida, united states",united states,linkedin.com/company/office-depot,11948,38472,3.0
802486,thomson reuters,billblaw.com,,real estate,1 - 10,"rosenberg, texas, united states",united states,linkedin.com/company/bill-buckner-and-associates-pc,0,3,3.7
5917829,domino's,dominos.ca,,internet,11 - 50,"brampton, ontario, canada",canada,linkedin.com/company/domino's,9,18,3.5
6280700,honeywell,,,,1 - 10,,,linkedin.com/company/honeywell-hungary-,0,1,3.9,3.7
3237396,dick's sporting goods,dickssportinggoods.com,1948.0,retail,10001+,"coraopolis, pennsylvania, united states",united states,linkedin.com/company/dick's-sporting-goods,7328,25299,3.3
539993,aerotek,aerotekmusic.com,,music,1 - 10,,,linkedin.com/company/aerotekmusic,3,4,3.4
112680,taco bell,tacobell.com,,restaurants,10001+,"irvine, california, united states",united states,linkedin.com/company/taco-bell,7989,23448,3.3
2051741,spectrum,spectrumedusolutions.com,1995.0,higher education,1 - 10,"poughkeepsie, new york, united states",united states,linkedin.com/company/spectrum-creative-solutions_2,0,26,2.9,3.4,3.1
6348526,qualcomm,qualcomm.com,1985.0,wireless,10001+,"san diego, california, united states",united states,linkedin.com/company/qualcomm,18614,36464,3.8
2243106,hertz,hertz.com,1918.0,"leisure, travel & tourism",10001+,"naples, florida, united states",united states,linkedin.com/company/hertz,8172,26164,2.7
3179964,geico,richter-spezial.de,,logistics and supply chain,51 - 200,,,linkedin.com/company/in,25,29,3.2
2639219,fedex,nbipconsulting.com,,biotechnology,1 - 10,,,linkedin.com/company/niagara-biotech-innovation-partners-llc,0,1,3.7
3395759,kelly services,naaraharju.fi,,building materials,1 - 10,"madrid, madrid, spain",spain,linkedin.com/company/naaraharju-oy,0,4,3.4
4458517,the coca-cola company,coca-colacompany.com,1892.0,food & beverages,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-coca-cola-company,29278,77857,3.8
5283669,gamestop,gamestop.com,1996.0,retail,10001+,"grapevine, texas, united states",united states,linkedin.com/company/gamestop,6539,29639,2.9
6379771,nike,nike.com,1972.0,sporting goods,10001+,"beaverton, oregon, united states",united states,linkedin.com/company/nike,29731,73269,4.0,3.0
5097151,burger king,,,computer software,1 - 10,"le mars, iowa, united states",united states,linkedin.com/company/burger-king-corporate-office,0,4,3.2
309274,goodwill,goodwillhuntingg.com,,apparel & fashion,1 - 10,,,linkedin.com/company/goodwill-huntingg,0,1,2.9
1942379,rite aid,riteaid.com,1968.0,retail,10001+,"harrisburg, pennsylvania, united states",united states,linkedin.com/company/rite-aid,11323,30951,3.0
4165810,wendy's,wendcentral.com,,restaurants,1001 - 5000,,united states,linkedin.com/company/wendy's,1743,5096,3.2
3049663,fedex ground,,,package/freight delivery,10001+,,,linkedin.com/company/fedex-ground,9638,21172,3.4
630637,barnes & noble,bn.com,,retail,10001+,"new york, new york, united states",united states,linkedin.com/company/barnes-&-noble,6084,26067,3.3
6148199,salesforce,salesforce.co.za,,staffing and recruiting,11 - 50,"johannesburg, gauteng, south africa",south africa,linkedin.com/company/salesforce-za,14,22,4.3
4458512,american eagle outfitters,ae.com,1977.0,retail,10001+,"pittsburgh, pennsylvania, united states",united states,linkedin.com/company/american-eagle-outfitters,7198,36373,3.6
3960983,goldman sachs,stevegoldmanassociates.com,,management consulting,1 - 10,,,linkedin.com/company/steve-goldman-associates,2,2,3.9
3420374,intuit,intuit.com,1983.0,computer software,10001+,"mountain view, california, united states",united states,linkedin.com/company/intuit,7358,20551,4.3
5132514,raytheon,,,computer software,1 - 10,"falls church, virginia, united states",united states,linkedin.com/company/raytheon-telemus-inc-,1,6,3.7
5534483,michaels,,,accounting,1 - 10,"dallas, texas, united states",united states,linkedin.com/company/michaels-international,0,1,3.2
180910,massage envy,moah.org,,"health, wellness and fitness",1 - 10,"sandy, utah, united states",united states,linkedin.com/company/massage-envy-sandy,2,2,3.2
1553997,alorica,alorica.com,1999.0,outsourcing/offshoring,5001 - 10000,"irvine, california, united states",united states,linkedin.com/company/alorica,4698,11768,2.7
7016930,applebee's,applebees.com,1980.0,restaurants,10001+,"lenexa, kansas, united states",united states,linkedin.com/company/applebee's,6935,25142,3.2
