Name,Location,Score,reviews,salaries,interviews
b'Cutting Edge Information',"b'Durham, NC'",b'2.8',b'13',b'4',b'3'
b'Refinery Terminal Fire Company',"b'Corpus Christi, TX'",b'2.0',b'13',b'7',b'2'
b'City of Lewisville',"b'Lewisville, TX'",b'4.1',b'13',b'13',b'3'
b'Los Angeles Galaxy',"b'Los Angeles, CA'",b'3.8',b'13',b'8',b'3'
b'Peak Pro Staffing',"b'Lenexa, KS'",b'4.4',b'13',b'5',b'--'
b'Tellurian',"b'Monona, WI'",b'3.1',b'13',b'8',b'--'
b'Regency Business Solutions',"b'Raleigh, NC'",b'3.0',b'13',b'11',b'2'
"b""St. Luke's Magic Valley Medical Center""","b'Twin Falls, ID'",b'3.6',b'13',b'10',b'2'
b'Renaissance Academy',"b'Phoenixville, PA'",b'2.9',b'13',b'5',b'1'
"b""Florida's Blood Centers""","b'Orlando, FL'",b'2.6',b'13',b'7',b'1'
b'Auctiva',"b'Chico, CA'",b'3.7',b'13',b'26',b'2'
b'TELACU',"b'Commerce, CA'",b'2.3',b'13',b'23',b'1'
b'Reading Eagle',"b'Reading, PA'",b'3.3',b'13',b'10',b'3'
b'DW Simpson & Company',"b'Chicago, IL'",b'4.2',b'13',b'14',b'1'
b'Auburn School District',"b'Auburn, WA'",b'4.1',b'13',b'10',b'2'
b'San Diego Police Department',"b'San Diego, CA'",b'3.8',b'13',b'11',b'4'
b'Washington Department of Fish and Wildlife Enforcement',"b'Olympia, WA'",b'2.9',b'13',b'7',b'4'
b'Prestige Promotions',"b'Miami, FL'",b'2.7',b'13',b'4',b'1'
b'Essex Regional Educational Services Commission',"b'West Orange, NJ'",b'2.8',b'13',b'7',b'3'
b'Long Beach USD',"b'Long Beach, CA'",b'4.2',b'13',b'8',b'4'
b'Perris Union High School District',"b'Perris, CA'",b'3.8',b'13',b'10',b'--'
b'Jefferson Elementary School District',"b'Daly City, CA'",b'4.0',b'13',b'24',b'2'
b'San Rafael City School District',"b'San Rafael, CA'",b'3.0',b'13',b'5',b'1'
b'Gilroy USD',"b'Gilroy, CA'",b'2.0',b'13',b'13',b'1'
b'Morgan Hill USD',"b'Morgan Hill, CA'",b'3.2',b'13',b'15',b'2'
b'Oak Grove School District',"b'San Jose, CA'",b'3.9',b'13',b'33',b'2'
b'The Lennox School District',"b'Inglewood, CA'",b'3.5',b'13',b'7',b'3'
b'Spiral Binding Company',"b'Totowa, NJ'",b'2.5',b'13',b'6',b'2'
b'Park1',"b'Miami, FL'",b'2.9',b'13',b'13',b'6'
b'Orion Consultants',"b'Ridgefield, CT'",b'2.3',b'13',b'24',b'6'
b'Packer',"b'Omaha, NE'",b'4.2',b'13',b'5',b'--'
b'RX',"b'Brooklyn, NY'",b'3.5',b'13',b'10',b'4'
b'Gibson',"b'Santa Clara, CA'",b'3.0',b'13',b'9',b'1'
b'Mankato',"b'Kalamazoo, MI'",b'3.1',b'13',b'11',b'1'
"b'Conventures,'","b'South Bend, IN'",b'3.5',b'13',b'7',b'2'
b'Davis',"b'Mankato, MN'",b'3.8',b'13',b'13',b'2'
b'The',"b'Boston, MA'",b'3.8',b'13',b'6',b'--'
b'Triple',"b'Sterling, MA'",b'3.2',b'13',b'5',b'--'
"b'Vicious Cycle Software, Inc'","b'Rcho STA Marg, CA'",b'3.4',b'13',b'15',b'--'
b'Ardea Biosciences',"b'San Diego, CA'",b'4.3',b'13',b'27',b'1'
b'1st Security',"b'Mountlake Terrace, WA'",b'4.0',b'13',b'16',b'1'
b'USA Technologies',"b'Malvern, PA'",b'2.3',b'13',b'8',b'1'
b'Lourdes Health System',"b'Camden, NJ'",b'3.3',b'13',b'12',b'--'
b'Southwest Traders',"b'Temecula, CA'",b'3.3',b'13',b'16',b'--'
b'Polysciences',"b'Warrington, PA'",b'3.0',b'13',b'9',b'1'
b'Van Rooy Properties',"b'Indianapolis, IN'",b'2.7',b'13',b'8',b'1'
b'TheraDoc',"b'Salt Lake City, UT'",b'2.9',b'13',b'16',b'3'
b'Geotechnology',"b'Saint Louis, MO'",b'3.4',b'13',b'19',b'--'
b'Larson Financial',"b'Westminster, CO'",b'3.2',b'13',b'8',b'2'
b'QPharma Corp.',"b'Morristown, NJ'",b'3.4',b'13',b'16',b'2'
b'CSI Software',"b'Houston, TX'",b'3.4',b'13',b'12',b'2'
b'ARC Broward',"b'Sunrise, FL'",b'3.2',b'13',b'8',b'1'
b'Warehouse Discount Center',"b'Moorpark, CA'",b'2.4',b'13',b'13',b'1'
"b""Cardi's Furniture""","b'Georgetown, TX'",b'2.3',b'13',b'11',b'--'
b'First Texas Bank',"b'Flagstaff, AZ'",b'3.0',b'13',b'14',b'1'
b'North Country HealthCare',"b'Clare, MI'",b'1.9',b'13',b'9',b'1'
b'StageRight Corp',"b'Peoria, IL'",b'2.8',b'13',b'9',b'--'
b'Minnetonka Public Schools',"b'Minnetonka, MN'",b'4.5',b'13',b'40',b'1'
b'Mee Memorial Hospital',"b'King City, CA'",b'1.6',b'13',b'5',b'1'
"b'Emax Financial & Real Estate Advisory, LLC'","b'New York, NY'",b'4.4',b'13',b'8',b'1'
b'Leopard Communications',"b'Broomfield, CO'",b'2.9',b'13',b'15',b'--'
b'Wraser',"b'Ridgeland, MS'",b'1.6',b'13',b'12',b'6'
b'North Carolina Department of Commerce',"b'Raleigh, NC'",b'3.4',b'13',b'9',b'2'
"b'Logikos, Inc.'","b'Fort Wayne, IN'",b'4.8',b'13',b'6',b'2'
b'Salin Bank',"b'Indianapolis, IN'",b'3.5',b'13',b'11',b'1'
b'env services',"b'Hatfield, PA'",b'3.0',b'13',b'18',b'2'
b'EU Services',"b'Rockville, MD'",b'2.6',b'13',b'6',b'1'
b'Threshold Interactive',"b'Venice, CA'",b'3.9',b'13',b'5',b'5'
b'DPRA',"b'Knoxville, TN'",b'3.5',b'13',b'7',b'2'
b'campus property management',"b'Champaign, IL'",b'2.6',b'13',b'7',b'2'
b'Ziba Beauty',"b'Artesia, CA'",b'1.5',b'13',b'12',b'3'
b'Citistaff',"b'Troy, MI'",b'2.8',b'13',b'13',b'3'
"b""Groucho's Deli""","b'New York, NY'",b'3.8',b'13',b'4',b'--'
b'Dewitt Stern',"b'Charlotte, NC'",b'3.7',b'13',b'9',b'--'
b'RoundPoint Financial Group',"b'Glen Arbor, MI'",b'2.9',b'13',b'7',b'--'
b'Cherry Republic',"b'Paramus, NJ'",b'3.1',b'13',b'8',b'1'
b'National Republican Senatorial Committee',"b'Washington, DC'",b'4.3',b'13',b'7',b'1'
b'Victoria Independent School District',"b'Victoria, TX'",b'3.0',b'13',b'20',b'2'
b'Pro4ia',"b'New York, NY'",b'3.1',b'13',b'8',b'2'
"b'Contec, Inc.'","b'Spartanburg, SC'",b'3.2',b'13',b'11',b'4'
b'Eagle County Schools',"b'Eagle, CO'",b'3.6',b'13',b'46',b'1'
"b'Gartner Studios, Inc'","b'Stillwater, MN'",b'2.1',b'13',b'9',b'4'
b'Leadership Connect',"b'New York, NY'",b'3.2',b'13',b'17',b'--'
b'Tierra Antigua Realty',"b'Tucson, AZ'",b'4.4',b'13',b'5',b'1'
