,name,domain,year founded,industry,size range,city, state,country,linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low
1470821,target,target.com,1962.0,retail,10001+,minneapolis, minnesota, united states,united states,linkedin.com/company/target,60602,204360,3.4,34000.0,44000.0,11000.0,TH,524419999.99999994,910600000.0,360.77,6.42,0.51,1.64,3.46,2.85,5.9,0.0040999999999999995,0.3235,0.13,0.0166,319820000.0,3.19,0.789,137160000.0,154450000.0,1330000.0,0.013,1.391,10390000.0,0.1,391810000.0,288.46,37940000.0,13780000.0,NaN,-0.5069,0.1325,12.11,4.62
4306268,amazon,amazon.com,1994.0,internet,10001+,seattle, washington, united states,united states,linkedin.com/company/amazon,93247,161866,3.8,37000.0,47000.0,21000.0,AMZN,869190000000.0,912720000000.0,77.68,64.31,1.71,3.27,15.36,3.44,26.69,0.042699999999999995,0.053899999999999997,0.052199999999999996,0.2373,265470000000.00003,539.3,0.237,93730000000.0,34189999999.999996,11350000000.0,22.57,-0.26,43400000000.0,87.54,74590000000.0,132.0,35330000000.0,22580000000.0,1.57,0.09789999999999999,0.1325,2035.8,1307.0
3300741,at&t,att.com,1876.0,telecommunications,10001+,dallas, texas, united states,united states,linkedin.com/company/at&t,115188,269659,3.4,23000.0,29000.0,3900.0,T,286060000000.0,488220000000.0,17.55,10.82,2.9,1.57,1.56,2.68,9.04,0.0898,0.1534,0.0323,0.09179999999999999,182360000000.0,24.92,-0.025,91340000000.0,54030000000.0,16370000000.000002,2.23,-0.21600000000000003,6690000000.0,0.92,197490000000.0,101.63,48800000000.0,32619999999.999996,0.61,0.3005,0.1325,39.58,26.8
2187941,starbucks,starbucks.com,1971.0,retail,10001+,seattle, washington, united states,united states,linkedin.com/company/starbucks,46523,147107,3.8,24000.0,29000.0,5300.0,SBUX,99440000000.0,105280000000.0,28.76,24.54,2.6,3.75,NaN,3.97,19.58,0.1358,0.1482,0.11320000000000001,NaN,26510000000.0,21.5,0.07,7490000000.0,5380000000.0,3600000000.0,2.92,0.063,2760000000.0,2.33,11170000000.0,NaN,5050000000.0,3690000000.0,0.52,0.2322,0.1325,99.72,60.42
5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,charlotte, north carolina, united states,united states,linkedin.com/company/bank-of-america,97357,279769,3.7,22000.0,35000.0,5700.0,BAC,294950000000.0,281130000000.0,12.09,11.0,1.45,3.42,1.22,3.26,NaN,0.32159999999999994,0.3917,0.0116,0.1045,86170000000.0,8.98,-0.09300000000000001,88690000000.0,NaN,26290000000.0,2.71,-0.19399999999999998,592250000000.0,65.84,547710000000.00006,NaN,-11250000000.0,NaN,1.62,0.18600000000000003,0.1325,33.6,22.66
5872184,ibm,ibm.com,1911.0,information technology and services,10001+,new york, new york, united states,united states,linkedin.com/company/ibm,274047,716906,3.7,51000.0,76000.0,9000.0,IBM,119100000000.0,179910000000.0,15.63,10.1,7.62,1.54,6.63,2.33,10.8,0.1,0.1445,0.0513,0.4061,77130000000.0,86.59,-0.039,36940000000.0,16660000000.0,7720000000.0,8.6,-0.379,10830000000.0,12.23,71500000000.0,395.11,15440000000.0,14990000000.0,1.34,0.1165,0.1325,152.95,105.94
900902,verizon,verizon.com,1983.0,information technology and services,10001+,basking ridge, new jersey, united states,united states,linkedin.com/company/verizon,37368,85643,3.6,21000.0,26000.0,4100.0,VZ,245710000000.0,375580000000.0,15.27,12.03,5.25,1.87,4.17,2.86,7.72,0.1226,0.24170000000000003,0.0721,0.2858,131370000000.0,31.75,0.009000000000000001,75660000000.0,48680000000.0,16110000000.0,3.89,0.055,3020000000.0,0.73,131870000000.0,218.65,34840000000.0,16600000000.000002,0.5,0.0040999999999999995,0.1325,61.58,52.28
2617180,macy's,macysjobs.com,1858.0,retail,10001+,cincinnati, ohio, united states,united states,linkedin.com/company/macy,33795,110896,3.2,19000.0,20000.0,7100.0,M,4960000000.0,12160000000.0,4.89,6.23,-0.35,0.19,0.79,0.47,6.08,0.039900000000000005,0.0518,0.042199999999999994,0.1679,25680000000.0,83.14,-0.006,10520000000.0,2000000000.0,1020000000.0,3.29,-0.48200000000000004,674000000.0,2.18,7870000000.0,124.67,1540000000.0,284000000.0,0.64,-0.5017,0.1325,37.32,14.11
5407625,best buy,bestbuy.com,1966.0,retail,10001+,richfield, minnesota, united states,united states,linkedin.com/company/best-buy,29568,120812,3.8,20000.0,27000.0,4800.0,BBY,19770000000.0,22230000000.0,13.56,12.44,1.83,0.46,6.05,0.52,7.83,0.0352,0.0471,0.0941,0.4682,43070000000.0,159.69,0.017,9960000000.0,2840000000.0,1520000000.0,5.53,-0.025,1720000000.0,6.53,4130000000.0,125.85,1920000000.0,875630000.0,1.14,0.1093,0.1325,78.53,47.72
5029327,walgreens,walgreens.com,1901.0,retail,10001+,deerfield, illinois, united states,united states,linkedin.com/company/walgreens,40455,98131,3.0,15000.0,21000.0,3000.0,WBA,55560000000.0,73530000000.0,14.44,10.11,4.6,0.41,2.37,0.54,11.17,0.0291,0.0352,0.0444,0.1558,136870000000.0,148.52,0.015,30080000000.0,6580000000.0,3980000000.0,4.31,-0.552,1020000000.0,1.15,17930000000.0,74.23,5590000000.0,2700000000.0,0.87,-0.2378,0.1325,86.31,49.03
3727010,microsoft,microsoft.com,1975.0,computer software,10001+,redmond, washington, united states,united states,linkedin.com/company/microsoft,116196,276983,4.2,24000.0,51000.0,8800.0,MSFT,1120000000000.0,1070000000000.0001,27.79,24.31,1.87,8.66,10.6,8.25,18.65,0.3166,0.35200000000000004,0.10640000000000001,0.428,129810000000.0,16.94,0.13699999999999998,82930000000.0,57420000000.0,41090000000.0,5.3,0.21,136610000000.00002,17.91,85570000000.0,80.68,52350000000.0,33810000000.000004,1.23,0.3709,0.1325,147.57,93.96
5735407,apple,apple.com,1976.0,consumer electronics,10001+,cupertino, california, united states,united states,linkedin.com/company/apple,90095,179531,4.0,16000.0,27000.0,7500.0,AAPL,1200000000000.0,1170000000000.0,22.24,17.82,2.04,4.59,12.99,4.5,15.32,0.21239999999999998,0.2457,0.11349999999999999,0.5592,260170000000.00003,56.34,0.018000000000000002,98390000000.0,76480000000.0,55260000000.0,11.89,-0.031,100560000000.0,22.63,108050000000.0,119.4,69390000000.0,42910000000.0,1.25,0.3686,0.1325,264.78,142.0
1752210,ups,ups.com,1907.0,transportation/trucking/railroad,10001+,atlanta, georgia, united states,united states,linkedin.com/company/ups,59712,132381,3.4,13000.0,14000.0,2700.0,UPS,105530000000.0,127480000000.0,21.4,15.21,2.06,1.44,18.99,1.74,16.12,0.0681,0.0767,0.0704,1.1492,73370000000.0,84.8,0.05,13130000000.0,7910000000.0,5000000000.0,5.75,0.16,4540000000.0,5.29,26480000000.0,475.06,8980000000.0,766500000.0,1.22,0.1137,0.1325,125.31,89.89
6432614,nordstrom,nordstrom.com,1901.0,retail,10001+,seattle, washington, united states,united states,linkedin.com/company/nordstrom,20376,81777,3.6,12000.0,11000.0,3600.0,JWN,5770000000.0,9590000000.0,12.27,11.0,4.49,0.37,7.59,0.62,6.58,0.0316,0.0516,0.054400000000000004,0.5182,15550000000.0,96.62,-0.048,5710000000.0,1460000000.0,492000000.0,3.03,-0.13,956000000.0,6.17,4830000000.0,635.97,1390000000.0,643120000.0,0.65,-0.37450000000000006,0.1325,65.24,25.01
21074,accenture,accenture.com,1989.0,information technology and services,10001+,dublin, dublin, ireland,ireland,linkedin.com/company/accenture,190689,455768,3.8,51000.0,66000.0,13000.0,ACN,123690000000.0,115880000000.0,26.43,22.67,2.79,2.86,8.58,2.68,16.74,0.1106,0.1459,0.14529999999999998,0.37929999999999997,43220000000.0,67.72,0.053,13310000000.0,6920000000.0,4780000000.0,7.36,0.098,6130000000.0,9.65,22660000.0,0.15,6630000000.0,5420000000.0,1.02,0.17809999999999998,0.1325,202.8,132.63
4291705,cisco,cisco.com,1984.0,computer networking,10001+,san jose, california, united states,united states,linkedin.com/company/cisco,61803,139423,4.1,18000.0,23000.0,3700.0,CSCO,205660000000.0,196600000000.0,18.57,13.77,2.22,3.96,6.13,3.79,12.34,0.22390000000000002,0.2729,0.0857,0.30269999999999997,51900000000.0,11.75,0.045,32670000000.0,15940000000.0,11620000000.0,2.61,-0.42,33409999999.999996,7.87,24670000000.0,73.48,15830000000.0,11450000000.0,1.26,0.0342,0.1325,58.26,40.25
229577,oracle,oracle.com,1977.0,information technology and services,10001+,redwood shores, california, united states,united states,linkedin.com/company/oracle,85090,206211,3.5,24000.0,37000.0,4800.0,ORCL,183990000000.0,207740000000.0,18.4,13.32,1.47,4.65,10.05,5.26,12.85,0.2771,0.35600000000000004,0.075,0.38049999999999995,39530000000.0,11.34,0.003,31510000000.0,16170000000.000002,10950000000.0,3.06,-0.057,35700000000.0,10.86,56780000000.0,298.52,13830000000.0,9430000000.0,1.15,0.1177,0.1325,60.5,42.4
2780814,pwc,pwc.com,1998.0,accounting,10001+,new york, new york, united states,united states,linkedin.com/company/pwc,111372,379447,3.8,26000.0,46000.0,9300.0,APWC,20210000.0,66800000.0,NaN,NaN,NaN,0.05,0.13,0.18,20.4,-0.0017000000000000001,-0.0044,-0.0033,0.0029,369230000.0,26.72,-0.29,36250000.0,3270000.0,-643000.0,-0.047,NaN,49090000.0,3.55,24230000.0,10.82,17470000.0,6560000.0,1.44,-0.3649,0.1325,2.4,1.3
4194738,kroger,thekrogerco.com,1883.0,retail,10001+,cincinnati, ohio, united states,united states,linkedin.com/company/kroger,22257,52584,3.0,9500.0,13000.0,2000.0,KR,21690000000.0,41270000000.0,13.48,11.66,2.56,0.18,2.49,0.34,8.01,0.013600000000000001,0.021099999999999997,0.0392,0.20120000000000002,120850000000.0,151.25,0.005,27020000000.0,5150000000.0,1630000000.0,2.01,-0.415,629000000.0,0.79,20620000000.0,238.31,4179999999.9999995,1170000000.0,0.56,-0.1009,0.1325,31.31,20.7
2994580,citi,citigroup.com,1812.0,financial services,10001+,new york, new york, united states,united states,linkedin.com/company/citi,101482,298171,3.6,16000.0,23000.0,4300.0,CIZN,114350000.0,210010000.0,17.83,NaN,NaN,3.47,1.05,6.38,NaN,0.17149999999999999,0.1918,NaN,NaN,32920000.0,6.72,-0.027999999999999997,35170000.0,NaN,5650000.0,1.15,-0.109,22950000.0,4.67,132259999.99999999,NaN,NaN,NaN,-0.09,-0.0842,0.1325,23.89,19.05
3408384,comcast,comcast.com,1963.0,media production,10001+,philadelphia, pennsylvania, united states,united states,linkedin.com/company/comcast,24515,50032,3.5,9000.0,13000.0,2200.0,CMCSA,205630000000.0,310080000000.0,16.75,13.1,1.4,1.9,2.63,2.86,9.21,0.11449999999999999,0.191,0.056600000000000004,0.1648,108390000000.0,23.86,0.212,64810000000.0,33670000000.0,12410000000.0,2.7,0.115,3510000000.0,0.77,105440000000.0,130.94,25250000000.0,12410000000.0,1.08,0.1751,0.1325,47.27,32.61
1558607,ey,ey.com,1989.0,accounting,10001+,london, greater london, united kingdom,united kingdom,linkedin.com/company/ernstandyoung,158363,428960,3.7,26000.0,38000.0,9000.0,AEY,23210000.0,23360000.0,NaN,NaN,NaN,0.37,0.75,0.37,-14.97,-0.1352,-0.0508,-0.0453,-0.2217,63540000.0,6.14,1.288,11220000.0,-1560000.0,-7800000.0,-0.833,NaN,2670000.0,0.26,750000.0,2.42,-2190000.0,8980000.0,0.5,0.7809999999999999,0.1325,2.55,1.23
6629901,sprint,sprint.com,1899.0,telecommunications,10001+,overland park, kansas, united states,united states,linkedin.com/company/sprint,28008,87996,3.2,7900.0,11000.0,1300.0,S,24800000000.0,64650000000.00001,NaN,-67.33,0.19,0.75,0.96,1.96,5.53,-0.0819,0.0755,0.0177,-0.0999,32979999999.999996,8.07,-0.076,20210000000.0,11690000000.0,-2700000000.0,-0.66,NaN,4320000000.0,1.05,44870000000.0,173.27,9880000000.0,-3690000000.0,0.27,-0.0408,0.1325,8.06,5.44
5144247,t-mobile,tmobile.com,2002.0,telecommunications,10001+,bellevue, washington, united states,united states,linkedin.com/company/t-mobile,30100,71654,4.0,8100.0,10000.0,1800.0,TMUS,66709999999.99999,108950000000.0,20.04,16.18,0.92,1.5,2.4,2.44,8.58,0.0753,0.141,0.050199999999999995,0.1288,44570000000.0,52.29,0.027000000000000003,24810000000.0,12700000000.0,3360000000.0,3.89,0.094,1650000000.0,1.93,44360000000.0,159.72,6240000000.0,2900000000.0,0.41,0.1373,0.1325,85.22,59.96
651752,boeing,boeing.com,1916.0,aviation & aerospace,10001+,chicago, illinois, united states,united states,linkedin.com/company/boeing,67261,120776,3.6,7700.0,11000.0,1900.0,BA,204010000000.0,219500000000.0,54.56,17.16,45.99,2.35,NaN,2.52,33.46,0.0437,0.049800000000000004,0.0219,NaN,86990000000.0,153.28,-0.205,19640000000.0,6560000000.0,3800000000.0,6.64,-0.506,10910000000.0,19.39,25880000000.0,NaN,2720000000.0,-299620000.0,1.24,0.062400000000000004,0.1325,446.01,292.47
